date,0,5,10,25,50,100,150,200,250
18.02.2021,"0,2","0,2","0,2","0,2","1,8","2,4","3,1","3,2","3,2"
26.02.2021,"0,2","0,2","0,2","0,2","1,2","2,4","3,4","3,4","3,4"
05.03.2021,"0,2","0,2","0,2","0,3",1,"2,4","3,2","3,4","3,4"
12.03.2021,"0,4","0,4","0,4","0,3",1,"2,6","3,4","3,6","3,4"
22.03.2021,"0,4","0,4","0,4","0,5","1,1","2,6","3,4","3,4","3,4"
18.05.2021,"1,8","1,8","1,8","1,8",2,"3,2","3,6","3,6","3,4"
27.05.2021,"2,7","2,4","2,4","2,6","2,6","3,2","3,6","3,6","3,6"
03.06.2021,3,3,3,3,3,"3,2","3,6","3,6","3,6"
18.06.2021,"3,6","3,6","3,6","3,6","3,6","3,6","3,6","3,6","3,6"
01.07.2021,"3,6","3,8","3,6","3,8","3,8","3,8","3,8","3,8","3,8"
12.07.2021,"4,8","4,7","4,6","4,4","4,2","3,9","3,6","3,6","3,6"
04.08.2021,"8,4","7,8","7,2",5,"4,2",4,4,"3,8","3,8"
11.08.2021,"9,8","7,6","6,2","5,2","4,4",4,4,"3,8","3,6"
20.08.2021,"14,6","13,6",13,"7,2","4,2",4,4,"3,8","3,8"
26.08.2021,11,11,"10,6",10,"5,8","4,6",4,"3,8","3,8"
06.09.2021,"12,8","12,8","12,6","8,8","4,6",4,"3,8","3,8","3,8"
15.09.2021,"11,6","11,2","11,2","10,4",7,"3,8","3,8","3,7","3,6"
22.09.2021,11,"10,8","10,8","10,6","9,6",4,"3,8","3,8","3,8"
30.09.2021,"10,2","10,2","10,2","10,2","4,4","3,8","3,8","3,8","3,8"
07.10.2021,"9,4","9,4","9,4","9,2","9,2","4,4","3,8","3,8","3,8"
20.10.2021,"7,4","7,3","7,2","7,2","7,2","4,2","3,8","3,8","3,8"
02.11.2021,"6,8","6,8","6,8","6,8","6,8",5,"5,1",4,"3,8"
09.11.2021,"5,2","5,2","5,2","5,2",5,"4,2","3,9","3,8","3,6"
15.11.2021,"4,8","4,8","4,8","4,8","4,8",4,"3,8","3,6","3,6"
30.11.2021,"3,8","3,9","3,9","3,9","3,9","3,9","3,8","3,8","3,8"
06.12.2021,"3,6","3,6","3,6","3,7","3,8","3,8","3,8","3,8","3,6"
