date,0 ,5 ,10 ,25,50 ,100 ,150 ,200,250
02.03.2020,"0,4","0,4","0,4","0,4","1,4","3,0","3,4","3,4","3,4"
10.03.2020,"0,4","0,4","0,4","0,6","1,6","3,2","3,4","3,4","3,4"
16.03.2020,"0,6","0,6","0,6","0,6","1,4","3,2","3,4","3,5","3,5"
20.05.2020,"3,1","3,0","3,0","3,0","3,0","3,2","3,4","3,4","3,4"
27.05.2020,"3,6","3,6","3,4","3,4","3,4","3,4","3,4","3,4","3,4"
03.06.2020,"3,8","3,6","3,6","3,6","3,6","3,6","3,6","3,6","3,6"
13.06.2020,"4,0","3,9","3,9","3,8","3,8","3,8","3,8","3,6","3,6"
22.06.2020,"6,4","6,0","5,6","4,7","4,2","4,1","4,0","3,8","3,8"
01.07.2020,"10,2","8,6","8,4","5,3","4,2","4,0","3,8","3,6","3,6"
09.07.2020,"13,2","10,2","8,2","6,0","4,4","4,0","3,8","3,8","3,8"
20.07.2020,"10,8","8,6","6,7","5,7","5,0","4,0","3,8","3,8","3,6"
05.08.2020,"6,2","6,0","5,2","4,4","4,0","3,8","3,8","3,8","3,7"
17.08.2020,"16,2","15,6","15,0","6,4","4,8","4,2","4,0","3,8","3,6"
01.09.2020,"15,0","15,0","14,9","13,8","9,4","4,0","3,8","3,8","3,8"
16.09.2020,"12,8","12,8","12,8","7,4","4,3","4,0","3,8","3,8","3,6"
28.09.2020,"9,0","9,0","9,0","8,6","7,4","4,0","4,0","4,0","4,0"
07.10.2020,"8,6","8,6","8,6","8,6","8,4","7,0","4,0","3,8","3,8"
13.10.2020,"7,4","7,4","7,4","7,4","6,8","4,0","3,8","3,8","3,8"
21.10.2020,"6,5","6,5","6,5","6,5","6,4","4,2","3,8","3,8","3,8"
29.10.2020,"5,8","5,8","5,7","5,6","5,4","4,6","4,5","3,8","3,8"
05.11.2020,"5,6","5,6","5,6","5,6","5,6","5,4","5,2","4,4","3,8"
17.11.2020,"5,0","5,0","5,2","5,2","5,2","5,0","5,0","4,6","4,0"
24.11.2020,"4,6","4,8","4,8","4,7","4,7","4,6","4,0","3,8","3,8"
04.12.2020,"4,0","4,0","4,0","4,0","4,0","4,0","3,8","3,8","3,8"
