date,0 ,5 ,10 ,25,50 ,100 ,150 ,200,250
22.02.2023,"0,3","0,3","0,3","0,8","1,6","2,8","3,3","3,4","3,4"
01.03.2023,"0,4","0,4","0,4","0,7","1,6","2,6","3,2","3,4","3,4"
09.03.2023,"0,6","0,6","0,6","0,8","1,6","2,8","3,3","3,4","3,4"
15.03.2023,"0,6","0,6","0,6","0,7","1,6","2,9","3,4","3,4","3,4"
23.03.2023,"0,4","0,8","0,8","0,8","1,6","2,6","3,3","3,4","3,4"
10.06.2023,"4,0","3,4","3,4","3,4","3,4","3,4","3,4",,
20.06.2023,"4,0","3,8","3,8","3,8","3,6","3,4","3,4",,
29.06.2023,"6,6","4,4","4,4","4,2","4,0","3,8","3,8",,
07.07.2023,"5,2","5,0","5,0","4,2","4,0","3,8","3,8",,
24.07.2023,"13,0","12,8","12,4","11,0","4,4","4,0","4,0",,
01.08.2023,"15,6","14,0","7,0","6,0","4,0","3,8","3,6",,
11.08.2023,"17,4","16,8","16,0","13,0","4,2","4,0","4,0",,
19.08.2023,"6,1","5,6","5,0","4,4","3,8","3,8","3,8",,
01.09.2023,"16,1","15,8","15,4","15,0","5,6","4,0","3,8",,
11.09.2023,"14,4","14,2","14,2","13,6","4,4","3,8","3,8",,
30.09.2023,"13,0","13,0","13,0","10,2","4,4","4,0","3,8",,
09.10.2023,"10,0","9,4","8,8","8,8","7,4","4,0","3,8",,
19.10.2023,"6,8","6,8","6,8","5,9","5,6","4,0","3,8",,
26.10.2023,"6,2","6,2","6,2","6,2","5,7","5,4","4,0",,
07.11.2023,"5,8","5,8","5,8","5,7","5,6","5,6","5,0",,
18.11.2023,"4,2","4,2","4,2","4,2","4,0","4,0","4,0",,
