,Дата,Горизонт,Температура,"прозрачность, м",Chl_a,,
123,1948-08-09 00:00:00,100,"3,8",,,,
124,1948-08-09 00:00:00,250,"3,7",,,,
126,1948-08-19 00:00:00,0,"10,1",,,,
132,1948-08-19 00:00:00,10,"7,8",,,,
133,1948-08-19 00:00:00,20,"5,8",,,,
134,1948-08-19 00:00:00,30,"6,7",,,,
129,1948-08-19 00:00:00,50,"4,6",,,,
131,1948-08-19 00:00:00,100,"4,9",,,,
135,1948-08-19 00:00:00,250,4,,,,
136,1948-08-25 00:00:00,0,"11,8",,,,
138,1948-08-25 00:00:00,10,"11,1",,,,
139,1948-08-25 00:00:00,20,"10,3",,,,
140,1948-08-25 00:00:00,30,"10,2",,,,
141,1948-08-25 00:00:00,50,"5,9",,,,
144,1948-08-25 00:00:00,100,4,,,,
145,1948-08-25 00:00:00,250,"3,7",,,,
146,1948-08-31 00:00:00,0,"10,9",,,,
147,1948-08-31 00:00:00,10,"10,6",,,,
148,1948-08-31 00:00:00,20,"9,8",,,,
149,1948-08-31 00:00:00,30,"5,1",,,,
150,1948-08-31 00:00:00,50,"4,7",,,,
151,1948-08-31 00:00:00,100,"4,2",,,,
152,1948-08-31 00:00:00,250,"3,9",,,,
153,1948-09-09 00:00:00,0,"10,6",,,,
154,1948-09-09 00:00:00,25,"10,1",,,,
155,1948-09-09 00:00:00,50,"9,7",,,,
156,1948-09-09 00:00:00,100,"5,3",,,,
157,1948-09-09 00:00:00,250,"3,9",,,,
158,1948-09-10 00:00:00,0,"10,6",,,,
159,1948-09-10 00:00:00,10,"10,3",,,,
160,1948-09-10 00:00:00,20,"10,1",,,,
161,1948-09-10 00:00:00,50,"9,7",,,,
162,1948-09-10 00:00:00,100,"5,3",,,,
163,1948-09-10 00:00:00,250,"3,9",,,,
164,1948-09-17 00:00:00,0,"10,1",,,,
165,1948-09-17 00:00:00,10,"10,4",,,,
166,1948-09-17 00:00:00,20,"10,1",,,,
167,1948-09-17 00:00:00,25,"10,1",,,,
168,1948-09-17 00:00:00,50,8,,,,
170,1948-10-03 00:00:00,0,"9,1",,,,
178,1948-10-03 00:00:00,10,"9,1",,,,
179,1948-10-03 00:00:00,20,9,,,,
180,1948-10-03 00:00:00,30,"8,9",,,,
172,1948-10-03 00:00:00,50,"8,5",,,,
174,1948-10-03 00:00:00,100,"4,1",,,,
175,1948-10-03 00:00:00,100,"4,1",,,,
177,1948-10-03 00:00:00,250,"4,3",,,,
181,1948-10-31 00:00:00,0,"3,6",,,,
182,1948-10-31 00:00:00,10,"3,6",,,,
183,1948-10-31 00:00:00,20,"3,7",,,,
184,1948-10-31 00:00:00,30,"3,6",,,,
185,1948-10-31 00:00:00,50,"3,6",,,,
186,1948-11-05 00:00:00,0,"3,8",,,,
187,1948-11-05 00:00:00,50,"3,8",,,,
188,1948-11-30 00:00:00,0,"3,6",,,,
189,1948-11-30 00:00:00,25,"3,6",,,,
190,1948-11-30 00:00:00,50,"3,6",,,,
191,1948-11-30 00:00:00,250,"3,6",,,,
192,1949-01-24 00:00:00,0,"0,2",,,,
193,1949-01-24 00:00:00,10,"0,2",,,,
194,1949-01-24 00:00:00,25,"0,7",,,,
195,1949-01-24 00:00:00,50,"2,3",,,,
196,1949-01-24 00:00:00,100,"3,7",,,,
197,1949-02-28 00:00:00,0,"0,1",,,,
198,1949-02-28 00:00:00,10,"0,2",,,,
199,1949-02-28 00:00:00,25,"0,7",,,,
200,1949-02-28 00:00:00,50,"1,8",,,,
201,1949-02-28 00:00:00,100,"3,5",,,,
202,1949-02-28 00:00:00,250,"3,8",,,,
203,1949-03-21 00:00:00,0,"0,6",,,,
204,1949-03-21 00:00:00,10,"0,9",,,,
205,1949-03-21 00:00:00,25,"1,5",,,,
206,1949-03-21 00:00:00,50,"1,5",,,,
207,1949-03-21 00:00:00,100,"3,2",,,,
208,1949-03-21 00:00:00,250,"3,6",,,,
209,1949-04-04 00:00:00,0,"1,3",,,,
210,1949-04-04 00:00:00,10,"1,4",,,,
211,1949-04-04 00:00:00,25,"1,4",,,,
212,1949-04-04 00:00:00,50,"1,5",,,,
213,1949-04-04 00:00:00,100,"3,15",,,,
214,1949-04-04 00:00:00,250,"3,55",,,,
215,1949-04-11 00:00:00,0,"1,3",,,,
216,1949-04-11 00:00:00,10,"1,6",,,,
217,1949-04-11 00:00:00,25,"1,8",,,,
218,1949-04-11 00:00:00,50,"1,8",,,,
219,1949-04-11 00:00:00,100,"3,1",,,,
220,1949-04-11 00:00:00,250,"3,6",,,,
221,1949-04-18 00:00:00,0,"1,3",,,,
222,1949-04-18 00:00:00,10,"1,6",,,,
223,1949-04-18 00:00:00,25,"1,6",,,,
224,1949-04-18 00:00:00,50,"1,8",,,,
225,1949-04-27 00:00:00,0,"2,8",,,,
226,1949-04-27 00:00:00,10,"2,8",,,,
227,1949-04-27 00:00:00,25,"2,8",,,,
228,1949-04-27 00:00:00,50,"3,1",,,,
229,1949-04-27 00:00:00,100,"3,6",,,,
230,1949-04-27 00:00:00,250,"3,55",,,,
231,1949-05-10 00:00:00,0,"2,9",,,,
232,1949-05-10 00:00:00,10,"2,8",,,,
233,1949-05-10 00:00:00,25,"2,8",,,,
234,1949-05-10 00:00:00,50,"2,8",,,,
235,1949-05-10 00:00:00,100,"3,25",,,,
236,1949-05-10 00:00:00,250,"3,55",,,,
237,1949-05-23 00:00:00,0,"3,45",,,,
238,1949-05-23 00:00:00,10,"3,5",,,,
